RespondentID,choice,avcycle,avwalk,avhsr,avcar,timecycle,timewalk,accesshsr,waitingtimehsr,transfer,timehsr,timecar,parking,vehind,owncycle,gender,work,visa,age,solo,shared,family,child,primary_caregiver,LAT,LONG,DAUID,mhi,dwell_den,lum,st_den,inter_den,SF_P_ratio,side_den,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA
576732146,2,0,1,1,0,5.245341678,18,21.31,10.23,0,10,100000,0,0,0,1,0,1,22,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,0,0
576737534,2,1,1,1,0,4.371118065,15,1.24,10.23,0,2,100000,0,0,1,0,0,1,22,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,1,0
576756923,2,0,1,1,0,4.371118065,15,1.07,10.23,0,5,100000,0,0,0,1,0,1,22,0,1,0,0,100000,43.26302,-79.900741,35250503,3.3902,941.397976,0.805636,14.37620617,39.22491567,0.230931,22.63322192,0,0,1,0
576760782,1,1,1,1,1,14,100000,5.33,10.23,0,8,4,0,0,1,1,1,1,24,1,0,0,0,100000,43.25222,-79.93953,35250964,6.3081,534.6674559,0.455743,13.55660792,15.27621303,0.074477,8.22849688,0,0,1,0
576765371,2,1,1,1,1,7.285196774,25,1.24,10.23,0,1,5,0,0,1,0,1,1,23,0,1,0,0,100000,43.258845,-79.904759,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,1,0
576765446,4,0,0,1,1,100000,100000,10.66,10.23,0,20,15,0,1,0,1,1,1,27,1,0,0,0,100000,43.258736,-79.884235,35250405,3.7836,2621.461028,0.409125,21.89385996,81.5565653,0.341613,33.12070148,1,0,0,0
576767489,4,0,0,1,1,100000,100000,12.42,10.23,0,40,20,1,0,0,0,0,1,22,0,0,1,1,0,43.239229,-79.821063,35250735,6.7212,1794.992915,0.373721,19.11960321,56.68398677,0.383146,59.26997701,0,0,1,0
576769331,2,1,1,1,1,5.82815742,20,24.84,10.23,0,5,2,0,1,1,0,0,1,25,0,1,0,0,100000,43.25845,-79.907797,35250855,4.2154,1391.982183,0.701271,12.87040646,73.07906459,0.199425,6.605343875,0,0,0,0
576771191,3,0,0,1,1,100000,100000,15,3,0,45,30,0,0,0,0,1,1,21,0,0,1,1,0,43.162681,-79.832108,35250922,6.1315,13.46004503,0.481198,0.839547485,0.760785154,0.008266,0,0,0,1,0
576773343,2,0,1,0,1,4.371118065,15,0,10.23,100000,100000,5,0,1,0,0,0,1,22,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,0,0
576775566,3,0,0,1,1,100000,100000,1,10,1,25,7,0,1,0,0,1,1,29,1,0,0,0,100000,43.248783,-79.883012,35250387,12.5655,489.4067128,0.514817,11.3871365,25.2597013,0.156546,14.22178716,1,0,0,0
576776590,3,1,1,1,0,15.52795031,62.11180124,1,3,1,15,100000,0,0,1,0,1,1,22,1,0,0,0,100000,43.259809,-79.888946,35250408,5.3534,1189.175291,0.605404,15.33772578,19.28392364,0.333772,22.39877964,0,0,1,0
576780093,4,0,0,1,1,100000,100000,7.46,10.23,1,35,18,0,0,1,1,1,1,20,0,0,1,1,0,43.233158,-79.911709,35250110,5.4771,824.8102936,0.556425,12.85369698,65.98482349,0.241742,21.87369897,0,0,1,0
576783764,4,0,0,1,1,100000,100000,2.13,10.23,1,45,15,0,0,1,1,1,1,20,0,0,1,1,0,43.233687,-79.917192,35250086,7.0041,1121.311935,0.43065,9.703693321,21.02459878,0.239662,21.45650948,0,0,0,0
576785384,4,0,0,1,1,100000,100000,6.21,10.23,1,55,15,0,0,0,0,1,1,22,0,0,1,1,0,43.218472,-79.918446,35250123,9.1358,1368.925394,0.17913,10.10814511,11.40771161,0.346707,20.28181241,0,1,0,0
576785801,2,1,1,1,0,4.371118065,15,12.42,10.23,0,5,100000,0,0,1,0,1,1,21,0,1,0,0,100000,43.258146,-79.910796,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,1,0
576789926,3,0,0,1,1,100000,100000,7,15,0,35,28,0,1,1,0,1,1,21,0,0,1,1,0,43.220979,-79.73365,35250275,5.8309,962.2066606,0.153522,11.76164003,37.41914791,0.214761,18.19162638,0,0,0,0
576792209,3,0,1,1,1,5.590062112,22.36024845,2,5,0,7,3,0,0,0,0,1,1,23,0,1,0,0,100000,43.26302,-79.900741,35250503,3.3902,941.397976,0.805636,14.37620617,39.22491567,0.230931,22.63322192,0,0,1,0
576792489,4,0,0,1,1,100000,100000,15.99,10.23,0,12,25,0,0,1,1,1,1,21,0,1,0,0,100000,43.25222,-79.93953,35250964,6.3081,534.6674559,0.455743,13.55660792,15.27621303,0.074477,8.22849688,0,1,0,0
576796246,2,1,1,1,0,4.371118065,15,21.31,10.23,1,5,100000,0,0,1,1,0,0,20,0,1,0,0,100000,43.26202,-79.910025,35250678,14.595,106.5837403,0.550986,3.60991605,4.388742249,0.075118,5.049635391,0,0,1,0
576797676,2,0,1,1,0,4.371118065,15,6.21,10.23,0,5,100000,0,0,0,0,0,1,19,0,1,0,0,100000,43.258076,-79.911943,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576797989,2,1,1,1,0,2.91407871,10,10.66,10.23,0,2,100000,0,0,1,1,0,1,21,0,1,0,0,100000,43.257621,-79.924838,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,0,0,0,0
576798193,2,0,1,1,0,2.331262968,8,5.33,10.23,0,5,100000,0,0,0,1,0,1,20,0,1,0,0,100000,43.261318,-79.907289,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,1,0,0
576798483,4,0,0,1,1,100000,100000,6.21,10.23,1,50,25,1,0,0,0,1,1,21,0,0,1,1,0,43.21568,-79.7131,35250308,6.6735,674.3250729,0.470952,7.607711389,21.67473448,0.144977,17.19519818,0,0,0,0
576799544,3,0,0,1,1,100000,100000,10,15,0,20,10,0,0,1,0,0,1,24,0,1,0,0,100000,43.256617,-79.874346,35250420,4.1378,2206.46918,0.759727,16.52739308,89.19769025,0.390402,24.01135091,0,0,1,0
576799724,2,0,1,1,1,7.285196774,25,37.27,10.23,0,7,2,0,0,0,0,0,1,23,0,1,0,0,100000,43.257401,-79.932111,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,1,0,0,0
576802523,2,1,1,1,0,4.371118065,15,1.49,10.23,0,5,100000,0,0,1,1,0,1,21,0,1,0,0,100000,43.26202,-79.910025,35250678,14.595,106.5837403,0.550986,3.60991605,4.388742249,0.075118,5.049635391,1,0,0,0
